"ParagraphIndex","Style","OutlineLevel","ListType","ListString","Text"
"189","Compact","10","0","","Profile construction and candidate shaping should be treated as substantive modelling stages, not hidden preprocessing (Ferraro et al., 2018; Zamani et al., 2019)."
"191","Compact","10","0","","Playlist-aware trade-offs"
"192","Compact","10","0","","The design should make coherence, diversity, novelty, and ordering explicit rather than treating playlist quality as a single objective (Bonnin and Jannach, 2015; Vall et al., 2019; Schweiger, Parada-Cabaleiro and Schedl, 2025)."
"194","Compact","10","0","","Run-level auditability"
"195","Compact","10","0","","Observability, reproducibility, and configuration traceability should be part of the design rather than added after the fact (Beel et al., 2016; Bellogin and Said, 2021; Cavenaghi et al., 2023)."
"197","Body Text","10","0","","Taken together, these requirements point toward a pipeline with explicit stages and evidence surfaces. While the requirements emerge from the Chapter 2 literature synthesis, the objectives below were established in Chapter 1; the design must therefore satisfy both."
"198","Body Text","10","0","","The six thesis objectives guide the main design decisions summarized below, linking the chapter structure to the stated research goals while keeping the design narrative readable."
"199","Compact","10","0","","Chapter 1 objective"
"200","Compact","10","0","","Chapter 3 design response"
"202","Compact","10","0","","O1. Design preference profiling from cross-source listening history"
"203","Compact","10","0","","Sections 3.6 and 3.7 define uncertainty-aware alignment and interpretable profile construction from aligned evidence and influence inputs."
"205","Compact","10","0","","O2. Implement cross-source alignment and candidate filtering with uncertainty handling"
"206","Compact","10","0","","Sections 3.6 and 3.8 specify confidence-aware matching, unmatched/ambiguous handling, and explicit candidate-shaping controls."
"208","Compact","10","0","","O3. Implement deterministic scoring and playlist assembly controls"
"209","Compact","10","0","","Sections 3.9, 3.10, and 3.12 define deterministic scoring, assembly trade-offs, and controlled-variation protocol."
"211","Compact","10","0","","O4. Produce explanation and logging outputs"
"212","Compact","10","0","","Section 3.11 defines mechanism-linked explanations plus run-level observability artefacts."
"214","Compact","10","0","","O5. Evaluate reproducibility and quality shifts under settings changes"
"215","Compact","10","0","","Section 3.12 defines baseline replay and one-parameter-at-a-time controlled variation for interpretable effect testing."
"217","Compact","10","0","","O6. Identify limits and applicability boundaries"
"218","Compact","10","0","","Sections 3.4 and 3.13 maintain explicit single-user, deterministic, bounded-scope framing for later limitation analysis."
"220","Heading 3","3","0","","3.3.1 Design Option Space and Selected-Design Rationale"
"221","First Paragraph","10","0","","The Chapter 2 synthesis supports more than one technically plausible architecture, so the selected design is justified by objective alignment rather than by assuming a universal best model family. Three realistic options were considered."
"222","Compact","10","0","","Option"
"223","Compact","10","0","","Main strengths"
"224","Compact","10","0","","Main risk under this thesis scope"
"225","Compact","10","0","","Selection outcome"
"227","Compact","10","0","","Hybrid or neural-first recommender core"
"228","Compact","10","0","","Strong representational power and broad benchmark relevance (Çano and Morisio, 2017; He et al., 2017)."
"229","Compact","10","0","","Reduced mechanism inspectability and weaker causal traceability of score drivers under bounded single-user scope."
"230","Compact","10","0","","Not selected as primary architecture; retained as comparator context."
"232","Compact","10","0","","Context-rich multimodal adaptive stack"
"233","Compact","10","0","","Potential gains in richer preference representation and context sensitivity (Ru et al., 2023; Liu et al., 2025)."
"234","Compact","10","0","","Higher modelling and data-dependency complexity, making reproducibility and control-effect interpretation harder to defend in this project boundary."
"235","Compact","10","0","","Not selected as primary architecture; positioned as future-work extension path."
"237","Compact","10","0","","Deterministic feature-based staged pipeline"
"238","Compact","10","0","","High transparency, controllability, and replay interpretability across explicit stages (Tintarev and Masthoff, 2007; Beel et al., 2016; Zamani et al., 2019)."
"239","Compact","10","0","","Bounded representational flexibility compared with richer adaptive model families."
"240","Compact","10","0","","Selected as the primary architecture."
"242","Body Text","10","0","","The selected option is therefore a deliberate fit to the research question and objectives rather than a claim that deterministic design dominates all alternatives. It is chosen because the thesis contribution is engineering evidence quality under cross-source uncertainty: explicit uncertainty handling at intake, inspectable candidate-space shaping, decomposable scoring, playlist-level rule visibility, and run-level reproducibility diagnostics. Those requirements are methodologically easier to satisfy and evaluate when the architecture remains deterministic and stage-explicit."
"243","Heading 2","2","0","","3.4 Design Scope and Overall Architecture"
"244","First Paragraph","10","0","","The proposed architecture is a deterministic pipeline with seven main stages:"
"245","Compact","10","4","1.","user interaction,"
"246","Compact","10","4","2.","cross-source data intake and alignment,"
"247","Compact","10","4","3.","preference profiling,"
"248","Compact","10","4","4.","candidate shaping,"
"249","Compact","10","4","5.","deterministic scoring,"
"250","Compact","10","4","6.","playlist assembly,"
"251","Compact","10","4","7.","explanation, observability, and control."
"252","First Paragraph","10","0","","Figure 3.1 shows how these stages connect and where the main evidence artefacts are produced."
"253","Captioned Figure","10","0","","/"
"254","Image Caption","10","0","","Figure 3.1. Deterministic pipeline architecture with stage outputs and run-level observability linkage."
"255","Body Text","10","0","","This layout is chosen to preserve causal traceability from user input to playlist output. Each stage has a clearly defined role and produces intermediate artefacts that can be inspected independently. That separation matters because it allows later evaluation to distinguish profile effects, candidate-space effects, scoring effects, and assembly effects rather than collapsing everything into a single black-box outcome."
"256","Body Text","10","0","","Each stage is therefore intended to emit inspectable intermediate outputs rather than only a final playlist. This makes it possible to examine how evidence enters the pipeline, how it is transformed, and where uncertainty, exclusion, or trade-off pressure is introduced as the run progresses."
"257","Body Text","10","0","","The architecture also reflects deliberate scope discipline. It is single-user, deterministic, and content-driven, with bounded complexity and explicit contribution limits. These are not treated as missing sophistication. They are methodological choices that keep the artefact auditable and aligned to the research gap identified in Chapter 2."
"258","Heading 3","3","0","","3.4.1 Assumptions and Boundaries"
"259","First Paragraph","10","0","","The design rests on a small set of explicit assumptions that bound what later evaluation can claim."
"260","Compact","10","4","","The user-data basis is a fixed local listening-history export rather than an open-ended live stream of behaviour."
"261","Compact","10","4","","Candidate tracks are drawn from a fixed offline corpus with available metadata and feature descriptors."
"262","Compact","10","4","","Preference evidence is useful but incomplete, so alignment uncertainty and missingness must remain visible rather than being treated as negligible."
"263","Compact","10","4","","The artefact is engineered for single-user inspectability under deterministic execution, not for large-scale personalization or online adaptation."
"264","Compact","10","4","","Control effects are interpreted within this bounded pipeline, so later results should be read as engineering evidence under fixed conditions rather than as universal recommendation performance claims."
"265","First Paragraph","10","0","","Alternative design directions were considered but not adopted as the primary architecture. Latent collaborative and neural approaches were not selected because they weaken direct inspectability of ranking drivers under the thesis scope, even though they may perform strongly in richer multi-user settings (Çano and Morisio, 2017; He et al., 2017; Liu et al., 2025). Probabilistic or heavily stochastic ranking approaches were also not selected because they would make control effects and replay behaviour harder to interpret. The design therefore commits to a deterministic, feature-based pipeline because that choice best fits the transparency, controllability, and reproducibility objectives established in Chapters 1 and 2."
"266","Heading 2","2","0","","3.5 Technology Choices and Realisation Context"
"267","First Paragraph","10","0","","The design assumes a lightweight, locally executable environment chosen to support traceability and reproducibility rather than platform scale. A scripted pipeline language is preferred over a distributed or service-heavy architecture because the contribution lies in auditable recommendation behaviour, not deployment infrastructure. This choice supports traceability and a human-centered trust model in which deterministic, locally editable logic is often easier to inspect and justify than opaque remote or hybrid execution paths (Afroogh et al., 2024)."
"268","Body Text","10","0","","At the data intake boundary, the design requires that user-side listening evidence be available as a pre-acquired local artefact rather than retrieved through live network calls at recommendation time. This keeps the core recommendation run independent of external availability, authentication state, and endpoint drift — all of which would introduce variability that is orthogonal to the contribution."
"269","Body Text","10","0","","For cross-source identifier matching, the design calls for bounded fuzzy fallback comparison when strong identifiers are absent. This is preferable to exact-only matching under cross-source conditions, but the fallback must remain transparent and bounded rather than delegating the matching decision to an opaque learned model. Stage inputs, outputs, and diagnostics should be stored in directly inspectable artefact formats rather than in a database layer, so that intermediate decisions remain portable and reviewable across runs."
"270","Heading 2","2","0","","3.6 Cross-Source Preference Evidence and Alignment"
"271","First Paragraph","10","0","","The intake boundary is intentionally narrow: one primary listening-history source plus optional user-steerable influence inputs. Imported tracks are transformed into an inspectable preference signal through staged alignment and explicit uncertainty handling."
"272","Body Text","10","0","","Following the Chapter 2 conclusion that cross-source evidence is structurally uncertain, alignment is treated as an explicit design stage rather than a hidden preprocessing step. It distinguishes confident matches, ambiguous cases, and unmatched records rather than treating all imported records as equally reliable profile evidence (Elmagarmid, Ipeirotis and Verykios, 2007; Papadakis et al., 2021)."
"273","Body Text","10","0","","In practical terms, the alignment stage follows a fixed evidence order. It first checks whether the imported row contains the minimum fields needed for reliable downstream handling. If it does, it attempts the strongest available identifier-based match. Structured identifiers such as track or recording IDs are prioritized because they are less susceptible to naming variation, version suffixes, and transliteration differences than string-based metadata, making them more reliable anchors for cross-source record linkage (Elmagarmid, Ipeirotis and Verykios, 2007). Only when that path is unavailable or insufficient does it fall back to bounded metadata comparison over title, artist, and related descriptive fields. If one candidate is clearly strongest, the row is treated as a confident match. If several plausible candidates remain close under the fallback logic, the row is retained as ambiguous rather than being forced into certainty. If no acceptable candidate is found, the row is retained as unmatched with an explicit reason category. Imported rows that fail minimum validity checks are surfaced separately as invalid rather than silently discarded."
"274","Body Text","10","0","","Cross-source music data can contain duplicated entries, naming variation, version suffixes, missing fields, and identifier mismatch. These are treated as manageable but irreducible sources of uncertainty that must be made visible through diagnostics rather than hidden behind aggregate success rates."
"275","Body Text","10","0","","Alignment outcomes are therefore represented in three broad categories. Confident matches contribute directly to downstream profile construction. Ambiguous matches remain visible with explicit uncertainty markers so they can be reviewed rather than silently absorbed as certain evidence. Unmatched or invalid records are retained in diagnostics with reason categories so that data-coverage limitations remain observable at the point where evidence enters the system."
"276","Body Text","10","0","","In line with Chapter 2, alignment reliability is treated as methodologically grounded but still uncertain because much entity-resolution evidence is cross-domain rather than music-specific. The design consequence is that uncertainty should remain visible at the point where evidence enters the system, not only after final outputs are produced."
"277","Body Text","10","0","","Figure 3.2 shows the intended evidence-handling logic."
"278","Captioned Figure","10","0","","/"
"279","Image Caption","10","0","","Figure 3.2. Alignment evidence-handling flow with matched, ambiguous, unmatched, and invalid pathways."
"280","Heading 2","2","0","","3.7 Preference Profiling"
"281","First Paragraph","10","0","","The preference model is built from aligned listening evidence and explicit influence signals using interpretable feature representations. This stage defines what counts as meaningful preference evidence before any candidate is admitted for ranking."
"282","Body Text","10","0","","The interpretable feature space in this design is explicitly defined in three groups. Rhythmic and harmonic features include tempo, key, and mode. Affective and intensity-related features include danceability, energy, and valence. Semantic and contextual features include lead genre, genre overlap, and tag overlap (Bogdanov et al., 2013; Deldjoo, Schedl and Knees, 2024). These features are selected because they jointly support playlist-level trade-offs: tempo, key, and mode support rhythmic-harmonic compatibility; danceability, energy, and valence provide controllable intensity and affect proxies; and genre- and tag-based features provide interpretable semantic coherence and diversity control."
"283","Body Text","10","0","","Feature preparation standardizes values, handles missingness, and prepares weighted attributes for comparable similarity computation. Profile construction is therefore not neutral preprocessing — it is a normative modelling decision that determines which traces count as preference evidence and how strongly they shape downstream behaviour (Bogdanov et al., 2013; Roy and Dutta, 2022; Deldjoo, Schedl and Knees, 2024). However, the correspondence between feature-space similarity and listener-perceived preference remains incomplete; feature selection alone cannot fully capture affective or situational preference dimensions that depend on context and framing (Flexer and Grill, 2016). Interpretable features are therefore auditable but not assumed to be sufficient proxies for all preference aspects."
"284","Body Text","10","0","","The flow is straightforward: aligned listening events provide baseline evidence, optional influence-track inputs provide explicit correction or emphasis, and both are combined into weighted feature summaries in the same interpretable feature space as candidate tracks."
"285","Body Text","10","0","","The resulting profile is designed to make later ranking decisions traceable to explicit feature relationships rather than hidden latent representations. In practical terms, it becomes a bounded weighted summary of aligned evidence in the same candidate-facing feature space used for shaping and scoring. The contribution here is not a novel preference model but a profile representation whose assumptions remain visible enough for downstream ranking behaviour to be interpreted without guesswork."
"286","Heading 2","2","0","","3.8 Candidate Shaping"
"287","First Paragraph","10","0","","Candidate shaping restricts the searchable set before scoring so that the later ranking stage operates over an explicit, inspectable candidate space rather than the full corpus. Similarity thresholds, exclusions, and corpus-side filters are therefore treated as modelling decisions rather than mere efficiency settings."
"288","Body Text","10","0","","Candidate absence in the final playlist can arise for two fundamentally different reasons: a track may never have entered the candidate set, or it may have entered and then been outranked or excluded later. Preserving that distinction matters because explanation systems that collapse these two pathways risk attributing candidate-space filtering to scoring logic, which degrades the accuracy of any mechanism-linked explanation (Tintarev and Masthoff, 2007, 2012). Candidate shaping also gives the design a clear place to represent threshold strictness, influence-track expansion, and corpus-side exclusions as explicit controls whose effects can later be observed in candidate counts, exclusion diagnostics, and downstream score opportunities."
"289","Body Text","10","0","","The shaping step is designed to combine profile-similarity thresholds with metadata-based exclusions and bounded influence-track expansion so that the candidate set remains both relevant to the current preference signal and auditable before ranking begins."
"290","Body Text","10","0","","Exposing candidate shaping as its own evidence surface is therefore a central design goal. It should show how many items were retained, why other items were filtered out, and how strongly the current profile settings determined the reachable search space. This makes candidate-generation visibility concrete rather than rhetorical and keeps the Chapter 2 observation that candidate-generation stages are often the most consequential but least visible part of a recommendation pipeline directly reflected in the architecture (Ferraro et al., 2018; Zamani et al., 2019)."
"291","Heading 2","2","0","","3.9 Deterministic Scoring"
"292","First Paragraph","10","0","","Candidate scoring uses explicit deterministic similarity functions with documented component-level weighting. This stage is responsible for ranking the already-shaped candidate set, not for silently redefining that set."
"293","Body Text","10","0","","The rationale is goal-aligned rather than absolutist: deterministic scoring is selected to maximize inspectability, replayability, and clear control effects under thesis scope, not to claim universal superiority over collaborative, hybrid, or neural alternatives (Çano and Morisio, 2017; He et al., 2017; Liu et al., 2025)."
"294","Body Text","10","0","","At design level, scoring combines weighted feature-similarity contributions so that final rankings can be decomposed into named components."
"295","Body Text","10","0","","Metric and feature-weight selections are treated as explicit design parameters rather than hidden implementation defaults. Metric family, normalization, and thresholding are first-order determinants of ranking geometry (Herlocker et al., 2004); this follows Chapter 2’s specific warning that these choices materially reshape recommendation behaviour (Fkih, 2022). In methodological terms, this makes scoring behaviour testable rather than assumed."
"296","Body Text","10","0","","The intended scoring output is therefore not just a ranked list but an inspectable score decomposition showing how feature relationships contributed to candidate ordering. That makes the stage interpretable at track level and gives later explanation and evaluation logic a concrete mechanism surface to reference."
"297","Heading 2","2","0","","3.10 Playlist Assembly"
"298","First Paragraph","10","0","","Playlist assembly remains a distinct stage rather than a thin post-processing layer. Coherence, diversity, novelty, and ordering are competing objectives at playlist level, and how they are weighted against one another materially affects perceived quality and user experience (Bonnin and Jannach, 2015; Vall et al., 2019; Schweiger, Parada-Cabaleiro and Schedl, 2025). Collection-level quality is therefore represented as an explicit trade-off rather than a single optimization target."
"299","Body Text","10","0","","The assembly stage takes a ranked candidate list as input and applies playlist-level rules that can preserve, relax, or redirect simple score order when collection quality would otherwise degrade. These rules govern configurable assembly constraints covering repetition, diversity pressure, novelty allowance, score admissibility, and ordering behaviour, and they include a relaxation pathway for when constraints would otherwise prevent the target playlist size from being met. Treating assembly separately matters because it creates a clear boundary between track-level merit and list-level construction."
"300","Body Text","10","0","","Figure 3.3 shows the intended relationship between scoring and assembly."
"301","Captioned Figure","10","0","","/"
"302","Image Caption","10","0","","Figure 3.3. Scoring-to-assembly relationship with constraint checks, fallback recording, and observability output."
"303","Heading 2","2","0","","3.11 Explanation and Run-Level Observability"
"304","First Paragraph","10","0","","Explanation outputs are generated directly from scoring contributors, candidate-shaping logic, and assembly-rule effects so that explanation statements remain mechanism-linked. In parallel, observability captures run-level artefacts spanning input intake, alignment diagnostics, profile construction, candidate shaping, scoring, assembly, and configuration state. Together, these surfaces make the full execution footprint inspectable rather than only the final output."
"305","Body Text","10","0","","Both user-facing transparency and developer-facing inspectability depend on this coupling. While mechanism-linked explanation increases auditability and fidelity relative to post-hoc narratives, it does not guarantee improved user-perceived utility or trust, which remain dependent on user context and characteristics (Knijnenburg et al., 2012). Explanation mechanisms are therefore treated as engineering evidence rather than automatic quality guarantees. The same coupling also creates the evidence bundle required for deterministic replay and control-effect evaluation, because reproducibility claims are only defensible when the same run surfaces can be inspected and compared across repeated executions (Beel et al., 2016; Bellogin and Said, 2021; Sotirou et al., 2025)."
"306","Body Text","10","0","","At minimum, the run record captures the input basis, configuration state, alignment and uncertainty summaries, profile outputs, candidate-space decisions, score-trace summaries, playlist-rule outcomes, explanation artefacts, and final output identifiers. This does not require production-grade telemetry. It requires a consistent evidence bundle that can be reviewed and compared across runs. Defining this record format in Chapter 3 matters because replay, sensitivity, and explanation-fidelity checks all depend on the same observable execution footprint."
"307","Heading 2","2","0","","3.12 Configuration and Experimental Control"
"308","First Paragraph","10","0","","A persistent configuration profile defines feature weights, constraints, filtering controls, trade-off parameters, and execution settings. This converts configuration from a convenience mechanism into a methodological instrument for evaluating reproducibility and controllability."
"309","Body Text","10","0","","Two complementary execution modes are defined. Baseline replay mode keeps inputs and configuration fixed and uses repeated fixed-configuration replays as a bounded consistency check across the main evidence surfaces, not only the final playlist. The purpose is to confirm that stable behaviour is not an artefact of a single execution, while keeping the check scoped to what the deterministic design can defensibly claim rather than invoking broader reproducibility standards. The comparison spans alignment summaries, candidate-pool counts, score-trace outputs, playlist artefacts, and final output identifiers, because reproducibility claims weaken when protocol and configuration are specified only at the result level rather than across the full execution record (Bellogin and Said, 2021; Cavenaghi et al., 2023)."
"310","Body Text","10","0","","Controlled-variation mode changes one selected parameter or one bounded policy switch at a time. All other settings remain fixed so observed differences can be interpreted against that single actuation. A meaningful variation is therefore not an arbitrary new profile but a predeclared change whose expected effect can be examined at candidate-space, ranking, assembly, or explanation level. Evidence that the control surface is behaving as intended includes stable fixed-baseline replays, observable shifts in intermediate diagnostics under one-factor changes, and traceable downstream differences in playlist composition or constraint-pressure records when later-stage effects occur. In this way, the protocol remains aligned to Chapter 1 objective O5 by treating reproducibility and controllability as evidence-bearing properties of the design rather than as informal run impressions."
"311","Heading 2","2","0","","3.13 Chapter Summary"
"312","First Paragraph","10","0","","This chapter has translated the Chapter 2 literature review into a design for a transparent and controllable playlist-generation pipeline. The central design choices are to make uncertainty visible at the point where evidence enters the system, separate profile construction from candidate shaping and track-level scoring from playlist assembly, keep explanations mechanism-linked, and support later evaluation through configuration control and run-level observability. The following chapter examines how closely the implemented artefact matches this blueprint and where these design properties become visible in execution."
"313","Heading 1","1","0","","Chapter 4: Implementation Architecture and Evidence Surfaces"
"314","Heading 2","2","0","","4.1 Chapter Aim and Scope"
"315","First Paragraph","10","0","","This chapter reports how the design committed in Chapter 3 became an executable pipeline and identifies the evidence outputs produced by each stage. It does not evaluate whether outputs meet quality criteria. Instead, it specifies what the implementation delivers, how design properties (transparency, controllability, reproducibility) become visible in concrete evidence surfaces, and how information flows from alignment through playlist assembly."
"316","Body Text","10","0","","The chapter follows the pipeline architecture in sequence: alignment, profiling, candidate shaping, scoring, assembly, explanation, and observability. For each stage, it describes the design intent, the implementation realisation, and the evidence artefacts produced. Together, these stages show that the implemented system is not only functionally staged; it also instruments transparency and controllability objectives directly in the execution record."
"317","Heading 2","2","0","","4.2 Design-to-Implementation Bridge"
"318","First Paragraph","10","0","","Chapter 3 committed to a deterministic 7-stage pipeline where each stage produces intermediate outputs. This section maps that commitment to the implemented stages and explains the technology positioning that supports auditable behaviour."
"319","Body Text","10","0","","The implementation adopts a deliberately lightweight, locally executable architecture chosen to support traceability and reproducibility over platform scale. This aligns with Chapter 3’s position that “the contribution lies in auditable recommendation behaviour, not deployment infrastructure” (Section 3.5). The pipeline stores all intermediate results and diagnostics as directly inspectable JSON or CSV artefacts in the local filesystem rather than in opaque database layers or remote services. This choice supports a human-centred trust model in which deterministic, locally reviewable logic is often easier to justify than remote or hybrid execution paths."
"320","Body Text","10","0","","By keeping the pipeline locally executable and artefact-based, intermediate decisions remain portable and reviewable across runs. A researcher or evaluator can inspect alignment diagnostics at the point where evidence enters, follow preference profile construction, observe candidate-space decisions before ranking begins, and trace final outputs back to active mechanisms."
"321","Body Text","10","0","","Implementation scope: The implementation uses seven core pipeline layers plus two evaluation-support layers (identified collectively as BL-003 through BL-011): alignment, profiling, candidate shaping, scoring, assembly, explanation, observability (the core stages), plus reproducibility and controllability instrumentation (the evaluation-support layers). The implementation follows the design blueprint of Figure 3.1 without structural deviation; this chapter introduces each layer and the evidence it produces. Supporting verification infrastructure (BL-013 pipeline orchestration and BL-014 automated sanity checking) is described in Section 4.10."
"322","Body Text","10","0","","Section weighting note: Alignment receives the most detailed treatment in Section 4.3 because it is the first point where evidence uncertainty enters the pipeline; understanding how uncertainty is classified and preserved at intake is foundational to all downstream stages."
"323","Heading 2","2","0","","4.3 BL-003: Cross-Source Alignment and Evidence Intake"
"324","First Paragraph","10","0","","Why does alignment matter? Because uncertainty enters here."
"325","Body Text","10","0","","Chapter 3 treated alignment as an explicit design stage rather than hidden preprocessing (Section 3.6). The alignment stage receives imported listening-history records and systematically matches them against a fixed offline track corpus. Rather than forcing all records into certainty, it follows a fixed evidence order: (1) check core field validity, (2) attempt structured identifier matching (track ID, recording ID), (3) fall back to bounded metadata comparison (title, artist), and (4) classify outcomes as confident match, ambiguous match, unmatched, or invalid."
"326","Body Text","10","0","","A confident match occurs when a strong identifier-based match is found or when metadata comparison yields one strongest candidate. An ambiguous match occurs when multiple candidates score close enough to remain plausible — the stage retains these records with uncertainty flags rather than silently forcing certainty. The stage also retains unmatched records with explicit reason categories (no title provided, fuzzy comparison failed, etc.) rather than discarding them, and it surfaces invalid records separately."
"327","Body Text","10","0","","This stage also preserves absence causality in the final playlist: a track either never entered the candidate set (alignment failure) or entered and was later excluded during filtering or ranking. This prevents explanation output from attributing candidate-space decisions to scoring logic."
"328","Body Text","10","0","","Evidence artefact: bl003_ds001_spotify_summary.json records match-rate statistics (counts matched by Spotify ID, by metadata fallback, ambiguous matches, unmatched records), match-rate validation against a minimum threshold, unmatched/invalid reason visibility, and cross-source identifier utilisation. This artefact exposes alignment uncertainty at intake. In the verification run used to confirm artefact completeness, an observed match rate of 24.7% against 9,902 input events (comprising 2,815 unique tracks from the Spotify listening history) was recorded, exceeding the 15% minimum threshold for alignment confidence. This result, alongside unmatched and ambiguous-category counters, allows downstream stages to understand the evidence profile passed forward."
"329","Heading 2","2","0","","4.4 BL-004: Preference Profiling from Aligned Evidence"
"330","First Paragraph","10","0","","Why expose the profile? Because influence and attribution must be reviewable."
"331","Body Text","10","0","","The profiling stage takes confident and ambiguous alignment outcomes and builds a weighted feature summary in a defined interpretable space (Section 3.7). The stage organises features in three groups: Rhythmic/Harmonic (tempo, key, mode), Affective/Intensity (danceability, energy, valence), and Semantic/Contextual (lead genre, genre overlap, tag overlap)."
"332","Body Text","10","0","","For each feature, the implementation computes weighted statistics (mean, standard deviation, attribution tracking) from aligned listening events. Optional influence-track inputs (explicit user-provided preference corrections) contribute to the same feature space so that influence and historical evidence remain commensurable. Feature preparation standardises values, handles missingness explicitly, and prepares weighted attributes for downstream similarity computation."
"333","Body Text","10","0","","Evidence artefact: bl004_preference_profile.json contains per-feature statistics for all three feature groups, influence-track contributions clearly marked, uncertainty markers for features with high missingness, and attribution breakdowns. This profile exposes preference structure for later inspection. An evaluator can directly inspect what feature weights define the profile, identify which genres dominate, and see how much influence-driven edits shifted the baseline evidence profile."
"334","Heading 2","2","0","","4.5 BL-005: Candidate Shaping and Search-Space Definition"
"335","First Paragraph","10","0","","Why explicit exclusion? Because candidate-space decisions must be traceable."
"336","Body Text","10","0","","The candidate-shaping stage restricts the searchable set before scoring so that ranking operates over an explicit, inspectable candidate space (Section 3.8). The stage combines profile-similarity thresholds with metadata-based exclusions and bounded influence-track expansion to define the searchable candidate set."
"337","Body Text","10","0","","The implementation enforces three mechanisms in sequence: 1. Profile-similarity thresholds: the stage retains candidates only if their feature distance to the profile falls within defined tolerance 2. Metadata-based exclusions: the stage explicitly marks ineligible candidates (e.g., bonus tracks, live versions, user-excluded artists) 3. Influence-track expansion: influence inputs can nominate additional candidates that remain in scope even if they fall below the similarity threshold"
"338","Body Text","10","0","","The stage records all three pathways separately so that downstream diagnostics can distinguish whether a candidate was excluded due to similarity, metadata policy, or was explicitly marked ineligible."
"339","Body Text","10","0","","Evidence artefact: bl005_candidate_diagnostics.json contains retained candidate count, exclusion breakdown by reason, threshold stringency metrics, influence-track contribution, and feature-range statistics for the retained set. This artefact records the search-space boundary directly. With typical retention rates around 20% of the corpus, the ranking stage operates over a highly filtered space. The artefact separates two cases: alternatives that were ranked lower versus tracks that never entered the candidate set."
"340","Heading 2","2","0","","4.6 BL-006: Deterministic Scoring with Decomposable Components"
"341","First Paragraph","10","0","","Component decomposition ensures rankings stay traceable to named logic."
"342","Body Text","10","0","","The scoring stage applies deterministic similarity functions to each candidate in the shaped set (Section 3.9). Scores are built as weighted sums of named feature-similarity components so that final rankings can be decomposed into named mechanisms."
"343","Body Text","10","0","","The implementation computes three feature-similarity scores (rhythmic/harmonic, affective/intensity, semantic/contextual) normalized to a 0–1 scale, then combines group scores using configurable weights so that users can emphasise (e.g.) semantic similarity over affective properties. Crucially, the stage outputs both raw final scores and per-component contributions, so that explanation logic can reference which mechanisms drove specific ranking decisions."
"344","Body Text","10","0","","Evidence artefact: bl006_score_summary.json records score distribution statistics (mean, median, min, max) for the full scored set, active component weight snapshot, and top-ranked candidates. bl006_scored_candidates.csv records individual score breakdowns and component contributions. Together, these artefacts record score-distribution behaviour for later assessment in the run records."
"345","Heading 2","2","0","","4.7 BL-007: Playlist Assembly with Explicit Trade-offs"
"346","First Paragraph","10","0","","Assembly rules make trade-off pressure visible at the playlist level."
"347","Body Text","10","0","","Playlist assembly remains a distinct stage rather than a thin post-processing layer (Section 3.10). The assembly stage takes the ranked candidate list and applies playlist-level rules that can preserve, relax, or redirect simple score order when collection quality would otherwise degrade."
"348","Body Text","10","0","","The implementation enforces configurable constraints covering repetition control (limits on consecutive artist/genre appearance), diversity pressure (targets for feature distribution), novelty allowance (budget to include lower-ranked tracks if they offer novel features), and score admissibility (constraints on minimum acceptable scores). When constraints cannot be satisfied within the target playlist size, the stage activates a relaxation pathway that explicitly records which constraints were relaxed and by how much."
"349","Body Text","10","0","","Evidence artefact: bl007_assembly_report.json contains constraint satisfaction record, rule-activation counts, playlist trace with decision record (for each position, what candidate was selected and why), and trade-off metrics summary. This artefact records assembly decisions as explicit data. The run captures not only the final playlist but also explicit relaxation records showing where constraints were loosened and by how much."
"350","Heading 2","2","0","","4.8 BL-008: Mechanism-Linked Explanations"
"351","First Paragraph","10","0","","Explanation payloads map each selection back to scoring contributors."
"352","Body Text","10","0","","The explanation stage generates structured rationale payloads for each track in the final playlist (Section 3.11). For each track, the payload records score breakdown (which feature-group similarities drove the ranking decision), component attribution (how much each of the three feature groups contributed), rule effects (how assembly constraints modified the simple score-based ordering if at all), and confidence marker (how confident was the alignment stage in the source evidence for this track)."
"353","Body Text","10","0","","The stage compiles these elements into a structured rationale that can be presented to a user in natural language form but remains grounded in active mechanisms. The payload includes the track’s score_percentile within the shaped candidate set (its rank expressed as a percentile across the full scored population before assembly) and a score_band classification (strong, moderate, or weak) derived from percentile thresholds."
"354","Body Text","10","0","","Evidence artefact: bl008_explanation_payloads.json contains per-candidate record for all scored tracks. bl008_explanation_summary.json records the distribution of primary explanation drivers across the playlist. The per-candidate payloads record score breakdowns and component contributions for every scored candidate, providing the basis for post-hoc inspection of why any candidate was included or excluded. These records separate score-driven selection effects from assembly-rule effects."
"355","Heading 2","2","0","","4.9 BL-009: Run-Level Observability and Full Execution Footprint"
"356","First Paragraph","10","0","","The observability layer consolidates the execution record across all prior stages into a single inspectable run artefact."
"357","Body Text","10","0","","All prior stages feed their outputs and the active configuration into a consolidation step that produces a single run-level artefact. This synthesises evidence from alignment through to final explanation, creating a run record suitable for reproducibility verification and controlled-variation comparison."
"358","Body Text","10","0","","The run record captures input summary (what listening history was imported, alignment quality), configuration snapshot (all active parameters), stage sequence (which stages executed in what order), intermediate diagnostics (key metrics from each stage), output identifiers (final playlist hash, final artefact hashes), reproducibility markers (run ID, timestamp), and validity boundaries (explicit non-claims about what the results apply to)."
